snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,Total Reserved Quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-365-plus-days,estimated-ais-365-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2024-09-17,CR-1SY8-9YT4,X0MEGNK66W,B0UU234HE9,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks | Light Compression Socks for Men | Doctor Themed Patterns, Argyles and Solids | Big and Tall Size (US Mens Shoe 12-16)",New,34,0,32,0,0,0,2,USD,0.0,4.0,7.0,8.0,Low traffic,102.17,0.0,112.2,0.0,Advertise listing,,0.0,0,0,635.71,0.26,0.172795,cubic feet,Apparel,5.87503,US,gl_apparel,806238.0,204.0,0,34.0,55.0,105.64,0.0,414.19,714.24,791.88,1,0,31,0,0,12.84,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.54,315.1,8.0,Healthy,,,2024-09-16,Yes,No,246.5,315.1,2024-09-14,34,0,0,0,204.0
2024-09-17,JH-FPFR-WCDX,X0LN5DODWR,B08EHTDC1D,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Blue, Burgundy, and Green Stripes | Classic Size (US Mens Shoe 7-11)",New,27,0,28,0,0,0,0,USD,1.0,5.0,17.0,17.0,Low traffic,98.04,0.0,95.28,0.0,Advertise listing,,76.87,14,0,566.62,1.05,0.182183,cubic feet,Other,4.918941,US,gl_apparel,963447.0,106.0,0,21.0,20.0,92.83,91.63,386.66,1104.28,1001.07,28,0,0,0,0,28.53,0,0,0,0,,1,0,,,,,,,,,,,,,,,217.7,8.0,Healthy,,,2024-09-16,Yes,No,155.6,217.7,2024-09-14,28,1,0,0,106.0
2024-09-17,ON-1OB8-DY5J,X0UDMG7QCG,B0KNDX6KKO,Men's Dress Sock Collection (9 pairs) (Business Ready)-Men Shoe Size 7-12,New,25,0,3,23,0,0,0,USD,0.0,1.0,5.0,11.0,Low traffic,97.24,0.0,90.09,0.0,Advertise listing,,0.0,0,0,4.37,0.36,0.174387,cubic feet,Apparel,4.359675,US,gl_apparel,272522.0,152.0,0,100.0,29.0,100.45,0.0,100.75,480.49,990.12,0,0,3,0,0,7.34,0,0,0,0,,1,0,,,,,,,,,,,,,,,254.9,15.0,Healthy,,,2024-09-16,Yes,No,254.9,187.1,2024-09-14,25,0,1,0,159.0
2024-09-17,XJ-RRJB-J7V9,X0RLV7PVJ4,B09XXKXWOQ,"SockBrand Athletic Mens Ankle Socks (3 Pairs) | Mens White Socks, 100% cotton socks for Men | US Mens Shoe 7-11",New,17,0,18,0,0,0,0,USD,,,,,Low traffic,23.7,0.0,23.37,0.0,Advertise listing,,13.38,2,0,404.84,0.0,0.055328,cubic feet,,0.940576,US,gl_apparel,,366.0,0,,,24.84,,,,,1,0,17,0,0,1.7,0,0,0,0,,1,0,,,,,,,,,,,,,,,368.1,,,,,2024-09-16,Yes,No,308.0,368.1,2024-09-14,18,1,0,0,366.0
2024-09-17,BV-RRNL-DUBY,X0V9R7G6TE,B0F7S9EFVB,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Colorful Stripes | Classic Size (US Mens Shoe 7-11)",New,4,0,0,8,0,0,0,USD,2.0,3.0,7.0,11.0,Low traffic,47.52,0.0,48.09,0.0,SendToFBA,,0.0,0,0,0.0,0.81,0.081235,cubic feet,Apparel,0.32494,US,gl_apparel,889366.0,48.0,0,5.0,4.0,43.78,95.92,127.78,322.3,455.44,0,0,0,0,0,0.77,0,0,0,0,,2,0,,,,,,,,,,,,,,,288.8,11.0,Low stock,13.0,2024-09-24,2024-09-16,Yes,No,288.8,139.0,2024-09-14,6,2,0,0,48.0
2024-09-17,ZQ-ETLW-GQ12,X0VLACAP3V,B0GBQ3WHZ2,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Fun Office Designs | Big and Tall Size (US Mens Shoe 12-16)",New,24,0,27,0,0,0,0,USD,0.0,0.0,1.0,4.0,Low traffic,50.95,0.0,51.19,0.0,Advertise listing,,24.82,2,0,343.43,0.36,0.072074,cubic feet,Apparel,1.729776,US,gl_apparel,847281.0,366.0,0,,78.0,52.21,0.0,0.0,50.48,209.46,27,0,0,0,0,3.38,0,0,0,0,,3,1,,,,,,,,,,,,,,,288.8,5.0,Healthy,,,2024-09-16,Yes,No,288.8,139.0,2024-09-14,27,3,0,0,366.0
2024-09-17,FU-KG8C-Y12E,X0XEWPEQ4Y,B0TRYND0EZ,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Stripes, Argyles and Dots Designs | Big and Tall Size (US Mens 12-16)",New,10,0,0,10,0,0,0,USD,1.0,3.0,6.0,7.0,Low traffic,104.73,0.0,97.33,0.0,Create Outlet deal,,50.95,2,0,1926.25,0.49,0.163263,cubic feet,Apparel,1.63263,US,gl_apparel,914996.0,153.0,10,13.0,18.0,102.99,99.4,308.32,607.65,705.21,0,0,0,0,0,10.62,0,0,0,0,,0,0,,,,,,,,,,,,,,,217.7,4.0,Excess,,,2024-09-16,Yes,No,155.6,217.7,2024-09-14,10,0,0,0,153.0
2024-09-17,PK-BD3V-UFTP,X02AJ9BGOC,B0BX2I8J4H,SockBrand Mid-Calf Dress Socks for Men (9 Pairs) | The Executive Class - Mid Calf Collection | Big and Tall Size (US Mens Shoe 12-16),New,10,0,6,5,0,0,0,USD,1.0,2.0,3.0,4.0,Low traffic,64.71,0.0,67.62,0.0,Create Outlet deal,,33.97,2,0,454.35,0.34,0.007887,cubic feet,Apparel,0.07887,US,gl_apparel,468253.0,164.0,10,20.0,32.0,75.59,69.16,149.53,217.32,300.0,0,0,6,0,0,0.14,0,0,0,0,,0,0,,,,,,,,,,,,,,,180.2,3.0,Excess,,,2024-09-16,Yes,No,125.3,180.2,2024-09-14,10,0,0,0,164.0
2024-09-17,UR-VQGA-N3N1,X0H6XX05EJ,B0SF9TAHPG,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black, Blue and Grey Colors | Big and Tall Size (US Mens Shoe 12-16)",New,25,0,50,0,0,0,0,USD,0.0,0.0,0.0,1.0,Low traffic,51.41,0.0,47.98,0.0,Advertise listing,,24.67,2,0,1065.17,0.08,0.075892,cubic feet,Apparel,1.8973,US,gl_apparel,758585.0,366.0,0,,325.0,49.32,0.0,0.0,0.0,47.29,50,0,0,0,0,6.59,0,0,0,0,,25,0,,,,,,,,,,,,,,,402.1,6.0,Healthy,,,2024-09-16,Yes,No,402.1,231.5,2024-09-14,50,25,0,0,366.0
2024-09-17,GN-TSEP-0CXH,X0AMYMV9QV,B0CDA0WXFJ,SockBrand Premium Mid-Calf Dress Socks for Men (9 Pairs),New,16,0,2,0,4,10,0,USD,1.0,4.0,11.0,15.0,Low traffic,71.91,0.0,74.47,0.0,Advertise listing,,0.0,0,0,514.19,0.65,0.174011,cubic feet,Apparel,2.784176,US,gl_apparel,423155.0,154.0,13,16.0,13.0,71.41,72.02,294.88,609.05,1003.27,0,2,0,14,0,16.29,0,0,0,0,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.57,0.0,0.0,0.0,0.0,180.2,7.0,Excess,,,2024-09-16,Yes,No,125.3,180.2,2024-09-14,16,0,0,0,154.0
2024-09-17,MC-S0GY-0276,X0TQEO2056,B00PABWYJ5,SockBrand Socks The American Pack Over the Calf Mens Dress Socks (3 Pairs) | Classic Size (US Mens Shoe 7-11),New,57,0,1,56,0,0,0,USD,0.0,5.0,27.0,31.0,Low traffic,46.18,0.0,47.03,0.0,Create sale,,26.3,14,0,601.08,0.42,0.069839,cubic feet,Apparel,3.980823,US,gl_apparel,625796.0,366.0,33,45.0,23.0,38.76,0.0,204.71,773.23,995.08,0,1,0,0,0,6.5,0,0,0,0,,0,0,,,,,,,,,,,,,,,240.9,10.0,Excess,,,2024-09-16,Yes,No,240.9,173.8,2024-09-14,57,0,0,0,366.0
2024-09-17,JD-N5A3-8JNL,X04O9MLGIZ,B0V6RMGHM6,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black, Red and Grey Colors | Classic Size (US Mens Shoe 7-11)",New,7,0,0,0,0,0,7,USD,0.0,2.0,7.0,8.0,Low traffic,44.98,0.0,41.54,0.0,Advertise listing,,34.0,9,0,78.11,0.71,0.072561,cubic feet,Apparel,0.507927,US,gl_apparel,624589.0,76.0,0,14.0,11.0,44.75,0.0,90.51,221.92,272.18,0,0,0,0,0,4.4,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.57,80.3,5.0,Healthy,,,2024-09-16,Yes,No,41.9,80.3,2024-09-14,7,0,0,0,76.0
