snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,DEPRECATED healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,no-sale-last-6-months,reserved-quantity,unfulfillable-quantity,quantity-to-be-charged-ais-181-210-days,estimated-ais-181-210-days,quantity-to-be-charged-ais-211-240-days,estimated-ais-211-240-days,quantity-to-be-charged-ais-241-270-days,estimated-ais-241-270-days,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-365-plus-days,estimated-ais-365-plus-days,historical-days-of-supply,fba-minimum-inventory-level,fba-inventory-level-health-status,Recommended ship-in quantity,Recommended ship-in date,Last updated date for Historical Days of Supply,Exempted from Low-Inventory-Level fee?,Low-Inventory-Level fee applied in current week?,Short term historical days of supply,Long term historical days of supply
2024-06-22,CR-1SY8-9YT4,X0GJ4OO98K,B0UU234HE9,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks | Light Compression Socks for Men | Doctor Themed Patterns, Argyles and Solids | Big and Tall Size (US Mens Shoe 12-16)",New,10,0,0,0,0,1,9,USD,1.0,3.0,9.0,19.0,Low traffic,100.81,0.0,105.34,0.0,Advertise listing,,0.0,0.0,0.0,0.65,1.07,0.172795,cubic feet,Apparel,1.72795,US,gl_apparel,668526.0,112,0,13.0,6.0,99.56,107.11,315.7,921.42,1730.18,0,0,0,0,1,14.24,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.68,151.8,4.0,Healthy,,,2024-06-24,Yes,No,151.8,119.8
2024-06-21,ON-1OB8-DY5J,X0AG9ZI65Z,B0KNDX6KKO,Men's Dress Sock Collection (9 pairs) (Business Ready)-Men Shoe Size 7-12,New,36,0,36,0,0,0,0,USD,0.0,3.0,8.0,8.0,Low traffic,84.56,0.0,93.19,0.0,Advertise listing,,0.0,0.0,0.0,0.39,0.41,0.174387,cubic feet,Apparel,6.277932,US,gl_apparel,713945.0,255,0,48.0,58.0,88.8,0.0,263.72,671.97,687.64,4,20,12,0,0,4.62,0,0,0,0,,0,0,,,,,,,,,,,,,,,101.2,17.0,Healthy,,,2024-06-24,Yes,No,101.2,75.6
2024-06-22,JH-FPFR-WCDX,X0ATIJOO5N,B08EHTDC1D,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Blue, Burgundy, and Green Stripes | Classic Size (US Mens Shoe 7-11)",New,16,0,16,0,0,0,0,USD,1.0,3.0,14.0,14.0,Low traffic,91.48,0.0,109.18,0.0,Advertise listing,,51.66,2.0,0.0,2854.02,0.89,0.182183,cubic feet,Apparel,2.914928,US,gl_apparel,618436.0,126,0,21.0,14.0,95.26,118.69,278.1,1130.29,1243.34,0,1,15,0,0,14.64,0,0,0,0,,0,0,,,,,,,,,,,,,,,176.2,6.0,Healthy,,,2024-06-24,Yes,No,176.2,131.6
2024-06-21,BV-RRNL-DUBY,X0FFQJ4W0G,B0F7S9EFVB,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Colorful Stripes | Classic Size (US Mens Shoe 7-11)",New,19,0,19,0,0,0,0,USD,0.0,0.0,1.0,1.0,Low traffic,42.87,0.0,43.98,0.0,Advertise listing,,24.09,2.0,0.0,620.53,0.07,0.081235,cubic feet,Apparel,1.543465,US,gl_apparel,282419.0,260,0,,247.0,41.91,0.0,0.0,43.46,47.43,0,0,19,0,0,1.15,0,0,0,0,,0,0,,,,,,,,,,,,,,,135.0,7.0,Healthy,,,2024-06-24,Yes,No,90.5,135.0
2024-06-19,ZQ-ETLW-GQ12,X0UYBOYF8H,B0GBQ3WHZ2,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Fun Office Designs | Big and Tall Size (US Mens Shoe 12-16)",New,5,0,0,2,1,3,0,USD,3.0,3.0,6.0,8.0,Low traffic,51.14,0.0,53.59,0.0,SendToFBA,,24.24,2.0,0.0,21.05,0.67,0.072074,cubic feet,Apparel,0.36037,US,gl_apparel,318407.0,62,0,6.0,8.0,47.66,159.99,139.72,314.15,401.51,0,0,0,4,0,1.09,0,0,0,0,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42,2.0,0.89,0.0,0.0,135.0,3.0,Healthy,25.0,2024-07-02,2024-06-24,Yes,No,90.5,135.0
2024-06-21,FU-KG8C-Y12E,X0EY91TLHC,B0TRYND0EZ,"SockBrand Over the Calf Mens Dress Socks (9 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Stripes, Argyles and Dots Designs | Big and Tall Size (US Mens 12-16)",New,17,0,17,0,0,0,0,USD,2.0,7.0,13.0,13.0,Low traffic,103.85,0.0,110.69,0.0,Advertise listing,,53.03,2.0,0.0,2024.33,0.75,0.163263,cubic feet,Apparel,2.775471,US,gl_apparel,626852.0,167,0,9.0,17.0,121.78,204.03,739.96,1397.18,1238.58,0,0,17,0,0,5.36,0,0,0,0,,0,0,,,,,,,,,,,,,,,176.2,6.0,Healthy,,,2024-06-24,Yes,No,176.2,131.6
2024-06-21,PK-BD3V-UFTP,X0IWI9FIO8,B0BX2I8J4H,"SockBrand Crew Socks for Men (9 Pairs) | 100% Cotton Socks for Men, Short Socks for Men, Mid Calf Socks in Brown, Beige and Blue in Patterns, Argyles and Solids | Big & Tall Size (US M Shoe 12-16)",New,14,0,14,0,0,0,0,USD,0.0,1.0,8.0,10.0,Low traffic,85.62,0.0,76.02,0.0,Advertise listing,,0.0,0.0,0.0,362.65,1.08,0.007887,cubic feet,Apparel,0.110418,US,gl_apparel,257866.0,293,14,56.0,18.0,76.81,0.0,75.72,517.54,641.17,14,0,0,0,0,0.04,0,0,0,0,,0,0,,,,,,,,,,,,,,,302.2,2.0,Excess,,,2024-06-24,Yes,No,302.2,279.3
2024-06-21,UR-VQGA-N3N1,X0MG0DQH9P,B0SF9TAHPG,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in Black, Blue and Grey Colors | Big and Tall Size (US Mens Shoe 12-16)",New,0,0,1,0,0,0,0,USD,0.0,5.0,18.0,23.0,,50.86,0.0,0.0,0.0,SendToFBA,,,,,,4.0,0.075892,cubic feet,Apparel,0.0,US,gl_apparel,480306.0,0,0,0.0,0.0,53.79,0.0,260.92,850.97,1192.53,1,0,0,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,,,154.0,10.0,Out of stock,13.0,2024-06-24,2024-06-24,Yes,No,154.0,82.3
2024-06-21,GN-TSEP-0CXH,X0S8X9P5PJ,B0CDA0WXFJ,SockBrand Premium Mid-Calf Dress Socks for Men (9 Pairs),New,28,0,0,4,25,0,0,USD,1.0,3.0,8.0,10.0,Low traffic,63.64,0.0,70.42,0.0,AlreadyOnAdvertisedCampaign,,0.0,0.0,0.0,1636.46,0.29,0.174011,cubic feet,Apparel,4.872308,US,gl_apparel,261442.0,366,28,37.0,36.0,74.5,74.53,197.7,476.77,648.97,0,0,0,25,0,3.88,0,0,0,0,,0,0,,,,,,,,,,,,,,,302.2,5.0,Excess,,,2024-06-24,Yes,No,302.2,279.3
2024-06-21,MC-S0GY-0276,X08WFUYERP,B00PABWYJ5,"SockBrand Over the Calf Mens Dress Socks (3 Pairs) | Cotton Made, Long Socks, Wide Socks | Light Compression Socks for Men in American Flag Colors and Patterns | Classic Size (US Mens Shoe 7-11)",New,87,0,87,0,0,0,0,USD,3.0,7.0,13.0,13.0,Low traffic,42.45,0.0,48.16,0.0,Advertise listing,,22.54,2.0,0.0,930.81,0.19,0.069839,cubic feet,Apparel,6.075993,US,gl_apparel,354268.0,366,0,49.0,87.0,44.8,136.3,292.49,587.87,548.23,1,0,86,0,0,4.33,0,0,0,0,,0,0,,,,,,,,,,,,,,,162.0,6.0,Healthy,,,2024-06-24,Yes,No,162.0,100.4
